case_number,date_last_modified,ground,reason,status,date_filed,petition_number
,3-18-2022,Fewer housing services,,Submitted,2022-03-18 00:00:00.000,15051
,3-16-2022,Fewer housing services,,Submitted,2022-03-16 00:00:00.000,15050
,3-15-2022,Fewer housing services,,Submitted,2022-03-15 00:00:00.000,15049
,3-14-2022,Allowable Amount,,Submitted,2022-03-11 00:00:00.000,15048
,3-14-2022,Contesting an Exemption,,Submitted,2022-03-11 00:00:00.000,15048
,3-10-2022,Fewer housing services,,Submitted,2022-03-10 00:00:00.000,15045
T22-0049,3-10-2022,Allowable Amount,,In-process,2022-03-09 00:00:00.000,15047
T22-0049,3-10-2022,Notice to Tenants,,In-process,2022-03-09 00:00:00.000,15047
,3-8-2022,Allowable Amount,,Completed,2022-03-08 00:00:00.000,15041
,3-8-2022,Allowable Amount,,Completed,2022-03-08 00:00:00.000,15042
T22-0046,3-9-2022,Allowable Amount,,In-process,2022-03-07 00:00:00.000,15039
T22-0046,3-9-2022,Notice to Tenants,,In-process,2022-03-07 00:00:00.000,15039
T21-0169,3-8-2022,,,Submitted,2022-03-04 00:00:00.000,15032
,3-4-2022,Fewer housing services,,Submitted,2022-03-04 00:00:00.000,15030
T22-0047,3-9-2022,Allowable Amount,,In-process,2022-03-04 00:00:00.000,15031
T22-0044,3-9-2022,Allowable Amount,,In-process,2022-03-04 00:00:00.000,15034
,3-4-2022,Allowable Amount,,Completed,2022-03-04 00:00:00.000,15033
L22-0015,3-9-2022,,Exemption-Single Family Residence or Condominium -Costa Hawkins,In-process,2022-03-03 00:00:00.000,15044
L22-0015,3-9-2022,,Exemption-New Construction,In-process,2022-03-03 00:00:00.000,15044
T22-0045,3-9-2022,Allowable Amount,,In-process,2022-03-01 00:00:00.000,15029
T22-0042,3-9-2022,Allowable Amount,,In-process,2022-02-28 00:00:00.000,15027
T22-0043,3-9-2022,Allowable Amount,,In-process,2022-02-28 00:00:00.000,15028
T22-0041,3-8-2022,Allowable Amount,,In-process,2022-02-23 00:00:00.000,15024
L22-0016,3-10-2022,,Exemption-New Construction,In-process,2022-02-22 00:00:00.000,15017
T22-0038,3-8-2022,Fewer housing services,,In-process,2022-02-22 00:00:00.000,15016
T22-0039,3-8-2022,Fewer housing services,,In-process,2022-02-22 00:00:00.000,15018
T22-0040,3-8-2022,Fewer housing services,,In-process,2022-02-22 00:00:00.000,15043
T22-0037,3-8-2022,,,In-process,2022-02-19 00:00:00.000,15015
T22-0036,3-8-2022,Allowable Amount,,In-process,2022-02-17 00:00:00.000,15040
T22-0036,3-8-2022,Notice to Tenants,,In-process,2022-02-17 00:00:00.000,15040
T22-0036,3-8-2022,Fewer housing services,,In-process,2022-02-17 00:00:00.000,15040
L22-0014,3-8-2022,,Exemption-Single Family Residence or Condominium -Costa Hawkins,In-process,2022-02-16 00:00:00.000,15012
T22-0035,3-8-2022,,,In-process,2022-02-15 00:00:00.000,15011
L22-0013,3-7-2022,,Exemption-New Construction,In-process,2022-02-09 00:00:00.000,15036
T22-0033,3-7-2022,Code Violation,,In-process,2022-02-09 00:00:00.000,15037
T22-0033,3-7-2022,Fewer housing services,,In-process,2022-02-09 00:00:00.000,15037
T22-0034,3-7-2022,Fewer housing services,,In-process,2022-02-09 00:00:00.000,15038
T22-0033,3-7-2022,Unlawfully charged,,In-process,2022-02-09 00:00:00.000,15037
T22-0034,3-7-2022,Unlawfully charged,,In-process,2022-02-09 00:00:00.000,15038
L22-0010,3-5-2022,,,In-process,2022-02-07 00:00:00.000,15019
